task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	4a/1ca636	4432153.cfe	run_kaiju (SRR5720260)	COMPLETED	0	2024-04-02 15:51:25.351	1m 14s	1m 9s	688.9%	2.5 GB	3.1 GB	2.4 GB	254.7 MB
3	5b/e51f81	4432151.cfe	run_kaiju (SRR5720257)	COMPLETED	0	2024-04-02 15:51:25.306	1m 24s	1m 19s	699.8%	2.5 GB	3.1 GB	2.4 GB	238.6 MB
9	3e/49674d	4432159.cfe	run_kaiju (SRR5720235)	COMPLETED	0	2024-04-02 15:51:25.565	1m 24s	1m 19s	700.3%	2.5 GB	3 GB	2.4 GB	250.9 MB
10	0a/48c550	4432160.cfe	add_taxonomy (SRR5720260)	COMPLETED	0	2024-04-02 15:52:39.862	19.9s	17.8s	94.0%	413.4 MB	418.2 MB	837.4 MB	417.1 MB
11	b2/27af98	4432161.cfe	add_taxonomy (SRR5720257)	COMPLETED	0	2024-04-02 15:52:49.805	20s	16.7s	95.1%	413.4 MB	418.2 MB	802.1 MB	391.3 MB
12	5d/d77a1d	4432162.cfe	add_taxonomy (SRR5720235)	COMPLETED	0	2024-04-02 15:52:49.822	20s	17.5s	94.9%	413.5 MB	418.2 MB	827.1 MB	408.1 MB
1	71/f3fbe1	4432152.cfe	run_kaiju (SRR5720276)	COMPLETED	0	2024-04-02 15:51:25.334	1m 49s	1m 45s	724.3%	2.5 GB	3.2 GB	2.4 GB	155.5 MB
5	4e/b9ba61	4432154.cfe	run_kaiju (SRR5720256)	COMPLETED	0	2024-04-02 15:51:25.370	1m 49s	1m 44s	725.2%	2.5 GB	3 GB	2.4 GB	128.6 MB
7	5f/48ed96	4432158.cfe	run_kaiju (SRR5720238)	COMPLETED	0	2024-04-02 15:51:25.463	1m 49s	1m 46s	727.0%	2.5 GB	3.4 GB	2.4 GB	107.1 MB
2	6f/16bdde	4432155.cfe	run_kaiju (SRR5720262)	COMPLETED	0	2024-04-02 15:51:25.385	1m 54s	1m 49s	729.0%	2.5 GB	3.1 GB	2.4 GB	146.9 MB
6	08/c8c37d	4432156.cfe	run_kaiju (SRR5720251)	COMPLETED	0	2024-04-02 15:51:25.399	1m 54s	1m 50s	727.3%	2.5 GB	3 GB	2.4 GB	151.2 MB
8	ad/81518d	4432157.cfe	run_kaiju (SRR5720233)	COMPLETED	0	2024-04-02 15:51:25.414	1m 59s	1m 56s	732.5%	2.5 GB	3.1 GB	2.4 GB	101.6 MB
16	47/e0b8e5	4432166.cfe	add_taxonomy (SRR5720276)	COMPLETED	0	2024-04-02 15:53:14.812	14.9s	11.5s	93.4%	413.3 MB	418.2 MB	618.6 MB	256.3 MB
17	09/ad67dd	4432167.cfe	add_taxonomy (SRR5720256)	COMPLETED	0	2024-04-02 15:53:14.828	14.9s	9.4s	95.1%	413.4 MB	418.2 MB	563.3 MB	216.8 MB
18	82/a15040	4432168.cfe	add_taxonomy (SRR5720238)	COMPLETED	0	2024-04-02 15:53:14.853	14.9s	8.6s	93.8%	413.4 MB	418.2 MB	512.9 MB	178.3 MB
19	02/8b85fb	4432169.cfe	add_taxonomy (SRR5720262)	COMPLETED	0	2024-04-02 15:53:19.806	15s	10.9s	95.6%	413.3 MB	418.2 MB	601.8 MB	245.1 MB
20	0e/e94926	4432170.cfe	add_taxonomy (SRR5720251)	COMPLETED	0	2024-04-02 15:53:19.824	15s	11.5s	95.0%	413.5 MB	418.2 MB	606.4 MB	245.9 MB
21	d5/e6b72d	4432171.cfe	add_taxonomy (SRR5720233)	COMPLETED	0	2024-04-02 15:53:24.792	10.1s	7.8s	94.1%	413.4 MB	418.2 MB	498.8 MB	167 MB
13	87/65b9ca	4432163.cfe	add_functions (SRR5720260)	COMPLETED	0	2024-04-02 15:52:59.866	1m 35s	1m 29s	99.5%	3.8 GB	3.8 GB	958.9 MB	140.6 MB
24	15/e45b8b	4432174.cfe	add_functions (SRR5720238)	COMPLETED	0	2024-04-02 15:53:29.846	1m 5s	58.8s	99.6%	3.8 GB	3.8 GB	897 MB	60.3 MB
14	6a/ae5844	4432165.cfe	add_functions (SRR5720257)	COMPLETED	0	2024-04-02 15:53:09.826	1m 30s	1m 25s	99.5%	3.8 GB	3.8 GB	952.3 MB	132.3 MB
23	a3/502f9d	4432173.cfe	add_functions (SRR5720256)	COMPLETED	0	2024-04-02 15:53:29.828	1m 10s	1m 4s	99.6%	3.8 GB	3.8 GB	906.6 MB	74.4 MB
27	19/7073c0	4432177.cfe	add_functions (SRR5720233)	COMPLETED	0	2024-04-02 15:53:34.937	1m 5s	1m	99.6%	3.8 GB	3.8 GB	894.3 MB	55.4 MB
15	25/aa84f5	4432164.cfe	add_functions (SRR5720235)	COMPLETED	0	2024-04-02 15:53:09.810	1m 35s	1m 28s	99.5%	3.8 GB	3.8 GB	956.3 MB	136.3 MB
22	e1/575d52	4432172.cfe	add_functions (SRR5720276)	COMPLETED	0	2024-04-02 15:53:29.811	1m 15s	1m 11s	99.6%	3.8 GB	3.8 GB	917.6 MB	86.3 MB
29	64/da9d3d	4432179.cfe	summarize_annotations (SRR5720238)	COMPLETED	0	2024-04-02 15:54:34.880	9.9s	7.8s	99.7%	8.9 MB	11.6 MB	60.8 MB	563 B
25	59/0342c6	4432175.cfe	add_functions (SRR5720262)	COMPLETED	0	2024-04-02 15:53:34.869	1m 15s	1m 9s	99.6%	3.8 GB	3.8 GB	914.6 MB	83.6 MB
26	21/d11ec7	4432176.cfe	add_functions (SRR5720251)	COMPLETED	0	2024-04-02 15:53:34.919	1m 15s	1m 10s	99.6%	3.8 GB	3.8 GB	915.1 MB	81.7 MB
32	a4/f62fa2	4432182.cfe	summarize_annotations (SRR5720233)	COMPLETED	0	2024-04-02 15:54:39.853	9.9s	7.7s	99.5%	9.1 MB	11.6 MB	55.9 MB	563 B
28	e9/115ba8	4432178.cfe	summarize_annotations (SRR5720260)	COMPLETED	0	2024-04-02 15:54:34.819	19.9s	14s	99.4%	8.8 MB	11.6 MB	141 MB	563 B
31	b4/28bf3c	4432181.cfe	summarize_annotations (SRR5720256)	COMPLETED	0	2024-04-02 15:54:39.833	14.9s	9.1s	99.6%	8.8 MB	11.6 MB	74.8 MB	563 B
30	78/739a60	4432180.cfe	summarize_annotations (SRR5720257)	COMPLETED	0	2024-04-02 15:54:39.810	20s	13.2s	99.5%	8.9 MB	11.6 MB	132.8 MB	563 B
34	c0/2d7597	4432184.cfe	summarize_annotations (SRR5720276)	COMPLETED	0	2024-04-02 15:54:44.817	15s	9.8s	99.5%	9 MB	11.6 MB	86.8 MB	565 B
33	49/628f4b	4432183.cfe	summarize_annotations (SRR5720235)	COMPLETED	0	2024-04-02 15:54:44.800	20s	13.4s	99.6%	8.9 MB	11.6 MB	136.8 MB	563 B
35	71/4d7902	4432185.cfe	summarize_annotations (SRR5720262)	COMPLETED	0	2024-04-02 15:54:49.810	15s	10.1s	99.6%	8.8 MB	11.6 MB	84.1 MB	564 B
36	bd/9a973c	4432186.cfe	summarize_annotations (SRR5720251)	COMPLETED	0	2024-04-02 15:54:49.823	15s	9s	99.5%	8.9 MB	11.6 MB	82.2 MB	562 B
