Run,Collection_date,cruise_id,BioSample,Depth,downloaded
SRR5720233,2003-02-21,BATS173,SAMN07137079,1m,yes
SRR5720238,2003-03-22,BATS174,SAMN07137082,1m,yes
SRR5720327,2003-04-22,BATS175,SAMN07137064,10m,yes
SRR5720283,2003-05-20,BATS176,SAMN07137103,1m,yes
SRR5720235,2003-07-15,BATS178,SAMN07137085,10m,yes
SRR5720286,2003-08-12,BATS179,SAMN07137088,10m,yes
SRR5720332,2003-10-07,BATS181,SAMN07137067,1m,yes
SRR5720276,2003-11-04,BATS182,SAMN07137106,1m,no
SRR5720262,2003-12-02,BATS183,SAMN07137109,1m,yes
SRR5720338,2004-01-27,BATS184,SAMN07137070,1m,yes
SRR5720322,2004-02-24,BATS185,SAMN07137121,1m,yes
SRR5720337,2004-03-23,BATS186,SAMN07137073,1m,yes
SRR5720256,2004-04-21,BATS187,SAMN07137091,1m,yes
SRR5720257,2004-05-18,BATS188,SAMN07137112,10m,no
SRR5720260,2004-06-15,BATS189,SAMN07137115,10m,yes
SRR5720321,2004-08-17,BATS191,SAMN07137118,1m,yes
SRR5720251,2004-09-14,BATS192,SAMN07137094,1m,yes
SRR5720307,2004-10-13,BATS193,SAMN07137097,1m,yes
SRR5720278,2004-11-12,BATS194,SAMN07137100,1m,yes
SRR5720342,2004-12-08,BATS195,SAMN07137076,1m,yes
SRR6507279,2009-07-14,BATS248,SAMN08390924,10m,yes
